Date,Open Price,High Price,Low Price,Close Price,Candle Color,Upper Shadow,Lower Shadow,Body,universe_disc,fMag,fBody,fUS,fLS,Bias,Magnitude,fm,md,fcs
20-Jun-1996,700.0,710.0,700.0,705.0,White,5,0,5.0,1,VB,VB,VB,TNY,Negative,5,Extremely Bearish,BR,VBTNYVBW
26-Jun-1996,699.95,711.0,695.0,709.5,White,1,4,9.549999999999956,3,VB,VB,VS,VB,Positive,4,Extremely Bullish,BL,VSVBVBW
27-Jun-1996,699.0,710.0,698.5,709.2,White,0,0,10.200000000000044,2,VB,VB,TNY,TNY,Positive,11,Extremely Bullish,BL,TNYTNYVBW
28-Jun-1996,709.0,709.0,703.55,707.0,Black,0,3,2.0,1,VB,VB,TNY,VB,Positive,10,Extremely Bullish,BL,TNYVBVBB
01-Jul-1996,710.0,712.0,705.75,708.0,Black,2,2,2.0,0,VB,VB,VB,VB,Negative,1,Extremely Bearish,BR,VBVBVBB
02-Jul-1996,705.0,710.0,705.0,706.7,White,3,0,1.7000000000000457,0,VB,VB,VB,TNY,Negative,2,Extremely Bearish,BR,VBTNYVBW
03-Jul-1996,701.0,709.9,697.5,702.8,White,7,3,1.7999999999999543,1,VB,VB,VB,VB,Negative,4,Extremely Bearish,BR,VBVBVBW
04-Jul-1996,699.0,705.0,690.75,700.0,White,5,8,1.0,1,VB,VB,VB,VB,Negative,8,Extremely Bearish,BR,VBVBVBW
10-Jul-1996,698.0,710.0,698.0,710.0,White,0,0,12.0,3,VB,VB,TNY,TNY,Positive,12,Extremely Bullish,BL,TNYTNYVBW
11-Jul-1996,710.0,715.25,706.0,706.2,Black,5,0,3.7999999999999545,1,VB,VB,VB,TNY,Positive,12,Extremely Bullish,BL,VBTNYVBB
12-Jul-1996,709.9,713.0,706.15,708.9,Black,3,2,1.0,1,VB,VB,VB,VB,Positive,13,Extremely Bullish,BL,VBVBVBB
15-Jul-1996,707.5,707.5,703.0,703.0,Black,0,0,4.5,1,VB,VB,TNY,TNY,Negative,7,Extremely Bearish,BR,TNYTNYVBB
18-Jul-1996,695.0,695.25,690.0,695.25,White,0,5,0.25,1,VB,VS,TNY,VB,Negative,13,Extremely Bearish,BR,TNYVBVSW
19-Jul-1996,700.0,700.0,691.5,698.25,Black,0,6,1.75,1,VB,VB,TNY,VB,Negative,4,Extremely Bearish,BR,TNYVBVBB
23-Jul-1996,700.0,700.0,691.0,693.95,Black,0,2,6.0499999999999545,4,VS,VB,TNY,SM,Negative,1,Bearish Neutral,BR,TNYSMVBB
24-Jul-1996,685.0,685.0,658.0,685.0,White,0,27,0.0,4,VB,TNY,TNY,VB,Negative,13,Extremely Bearish,BR,TNYVBTNYW
25-Jul-1996,684.0,700.0,682.0,695.1,White,4,2,11.100000000000025,10,SM,VB,SM,TNY,Negative,4,,NT,SMTNYVBW
26-Jul-1996,697.9,698.0,682.0,686.0,Black,0,4,11.899999999999974,11,BG,VB,TNY,VS,Negative,7,Very Bearish,BR,TNYVSVBB
01-Aug-1996,670.0,700.0,670.0,699.95,White,0,0,29.95000000000005,8,VB,VB,TNY,TNY,Positive,18,Extremely Bullish,BL,TNYTNYVBW
02-Aug-1996,704.0,704.0,690.0,690.0,Black,0,0,14.0,4,VB,VB,TNY,TNY,Positive,50,Extremely Bullish,BL,TNYTNYVBB
06-Aug-1996,680.0,694.0,680.0,687.9,White,6,0,7.899999999999977,2,VB,VB,VB,TNY,Negative,12,Extremely Bearish,BR,VBTNYVBW
07-Aug-1996,675.0,680.0,675.0,677.95,White,2,0,2.950000000000045,2,VB,VB,VB,TNY,Negative,12,Extremely Bearish,BR,VBTNYVBW
08-Aug-1996,684.9,690.0,684.5,689.0,White,1,0,4.100000000000024,1,VB,VB,VB,TNY,Positive,4,Extremely Bullish,BL,VBTNYVBW
09-Aug-1996,685.0,685.0,680.0,681.2,Black,0,1,3.7999999999999545,1,VB,VB,TNY,VB,Negative,6,Extremely Bearish,BR,TNYVBVBB
12-Aug-1996,677.05,680.0,671.0,671.7,Black,2,0,5.349999999999909,1,VB,VB,VB,TNY,Negative,6,Extremely Bearish,BR,VBTNYVBB
13-Aug-1996,667.0,670.0,666.5,666.5,Black,3,0,0.5,1,VB,SM,VB,TNY,Negative,22,Extremely Bearish,BR,VBTNYSMB
14-Aug-1996,670.0,671.0,670.0,671.0,White,0,0,1.0,1,VB,VB,TNY,TNY,Negative,10,Extremely Bearish,BR,TNYTNYVBW
16-Aug-1996,655.1,655.1,632.0,648.0,Black,0,16,7.100000000000023,2,VB,VB,TNY,VB,Negative,23,Extremely Bearish,BR,TNYVBVBB
23-Aug-1996,653.5,657.9,652.0,657.5,White,0,1,4.0,5,VB,VB,TNY,TNY,Positive,21,Extremely Bullish,BL,TNYTNYVBW
29-Aug-1996,660.0,672.0,660.0,664.1,White,7,0,4.100000000000024,3,VB,VB,VB,TNY,Positive,9,Extremely Bullish,BL,VBTNYVBW
05-Sep-1996,674.0,674.0,671.0,674.0,White,0,3,0.0,4,VB,TNY,TNY,VB,Positive,4,Extremely Bullish,BL,TNYVBTNYW
06-Sep-1996,672.0,700.0,670.0,690.0,White,10,2,18.0,4,VB,VB,VB,SM,Positive,26,Extremely Bullish,BL,VBSMVBW
09-Sep-1996,682.0,685.0,672.0,672.0,Black,3,0,10.0,2,SM,VB,VB,TNY,Positive,1,,NT,VBTNYVBB
10-Sep-1996,666.0,670.0,666.0,668.7,White,1,0,2.700000000000045,1,VB,VB,VB,TNY,Negative,5,Extremely Bearish,BR,VBTNYVBW
11-Sep-1996,661.0,666.0,661.0,663.0,White,3,0,2.0,1,VB,VB,VB,TNY,Negative,27,Extremely Bearish,BR,VBTNYVBW
12-Sep-1996,663.8,663.9,663.8,663.9,White,0,0,0.10000000000002274,2,VB,TNY,TNY,TNY,Negative,8,Extremely Bearish,BR,TNYTNYTNYW
23-Sep-1996,660.0,680.0,660.0,675.5,White,4,0,15.5,3,VB,VB,VB,TNY,Positive,11,Extremely Bullish,BL,VBTNYVBW
24-Sep-1996,665.1,670.95,665.0,670.0,White,0,0,4.899999999999976,2,TNY,VB,TNY,TNY,Positive,0,Neutral,NT,TNYTNYVBW
25-Sep-1996,670.0,673.9,670.0,672.15,White,1,0,2.1499999999999773,2,SM,VB,SM,TNY,Positive,1,,NT,SMTNYVBW
26-Sep-1996,668.0,668.0,665.1,665.1,Black,0,0,2.8999999999999773,3,VB,VB,TNY,TNY,Negative,10,Extremely Bearish,BR,TNYTNYVBB
27-Sep-1996,655.0,664.0,655.0,664.0,White,0,0,9.0,5,VB,VB,TNY,TNY,Negative,6,Extremely Bearish,BR,TNYTNYVBW
30-Sep-1996,658.0,662.5,655.0,659.5,White,3,3,1.5,4,VB,VS,VB,VB,Negative,12,Extremely Bearish,BR,VBVBVSW
01-Oct-1996,655.0,656.0,645.0,645.0,Black,1,0,10.0,6,VB,VB,TNY,TNY,Negative,20,Extremely Bearish,BR,TNYTNYVBB
03-Oct-1996,635.0,649.75,633.5,649.75,White,0,1,14.75,6,VB,VB,TNY,TNY,Negative,14,Extremely Bearish,BR,TNYTNYVBW
10-Oct-1996,685.0,694.0,670.0,680.35,Black,9,10,4.649999999999976,4,VB,VB,VB,VB,Positive,53,Extremely Bullish,BL,VBVBVBB
11-Oct-1996,690.0,690.0,680.25,684.05,Black,0,3,5.9500000000000455,3,VB,VB,TNY,VB,Positive,52,Extremely Bullish,BL,TNYVBVBB
14-Oct-1996,680.0,680.0,670.0,671.0,Black,0,1,9.0,3,VB,VB,TNY,VS,Positive,21,Extremely Bullish,BL,TNYVSVBB
22-Oct-1996,687.9,695.0,687.5,691.0,White,4,0,3.1000000000000227,6,VB,SM,BG,TNY,Positive,22,Extremely Bullish,BL,BGTNYSMW
23-Oct-1996,705.0,710.0,695.0,699.0,Black,5,4,6.0,6,VB,VB,VB,BG,Positive,31,Extremely Bullish,BL,VBBGVBB
25-Oct-1996,680.0,689.0,680.0,688.95,White,0,0,8.950000000000045,6,VS,VB,TNY,TNY,Negative,2,Bearish Neutral,BR,TNYTNYVBW
29-Oct-1996,656.3,691.0,656.3,688.65,White,2,0,32.350000000000016,7,TNY,VB,VS,TNY,Negative,1,Neutral,NT,VSTNYVBW
01-Nov-1996,679.9,685.0,679.9,685.0,White,0,0,5.100000000000024,4,SM,VB,TNY,TNY,Negative,2,,NT,TNYTNYVBW
07-Nov-1996,685.0,689.85,685.0,689.85,White,0,0,4.850000000000024,2,VB,VB,TNY,TNY,Positive,9,Extremely Bullish,BL,TNYTNYVBW
19-Nov-1996,695.05,706.0,695.05,701.2,White,4,0,6.150000000000091,1,VB,VB,VB,TNY,Positive,3,Extremely Bullish,BL,VBTNYVBW
20-Nov-1996,698.05,702.0,698.05,702.0,White,0,0,3.9500000000000455,1,VB,VB,TNY,TNY,Positive,2,Extremely Bullish,BL,TNYTNYVBW
21-Nov-1996,701.0,701.0,699.0,699.0,Black,0,0,2.0,1,VB,VB,TNY,TNY,Positive,2,Extremely Bullish,BL,TNYTNYVBB
22-Nov-1996,699.0,700.0,699.0,699.5,White,0,0,0.5,1,VB,SM,TNY,TNY,Negative,1,Extremely Bearish,BR,TNYTNYSMW
28-Nov-1996,690.0,695.0,690.0,693.75,White,1,0,3.75,4,TNY,VB,VS,TNY,Negative,0,Neutral,NT,VSTNYVBW
29-Nov-1996,685.25,695.0,685.25,695.0,White,0,0,9.75,4,VB,VB,TNY,TNY,Positive,3,Extremely Bullish,BL,TNYTNYVBW
02-Dec-1996,690.0,695.0,686.9,694.65,White,0,3,4.649999999999976,5,VB,VB,TNY,BG,Positive,4,Extremely Bullish,BL,TNYBGVBW
